USAF	WBAN	ICAO	STATION
702606	99999	PAEC	CHULITNA AIRPORT
702610	26411	PAFA	FAIRBANKS INTERNATIONAL AIRPORT
702615	26498	PAFB	WAINWRIGHT AAF AIRPORT
702627	26561	PARY	RUBY  AIRPORT
702645	46403	PAIN	MCKINLEY NATIONAL PARK AIRPORT
702647	26499	PAHV	HEALY RIVER AIRPORT
702647	99999	PAHV	HEALY RIVER AIRPORT
702648	46406	PATW	CANTWELL AIRPORT
702650	26407	PAEI	EIELSON AFB AIRPORT
702670	26415	PABI	ALLEN ARMY AIRFIELD
702675	26484	PAXK	PAXSON AIRPORT
702685	27518	PATQ	ATQASUK EDWARD BURNELL SR. MEMORIAL AIRPORT
702695	96402	PAJV	JONESVILLE MINE AIRPORT
702700	489	PAFR	BRYANT ARMY AIRFIELD HELIPORT
702710	26425	PAGK	GULKANA AIRPORT
702711	26439	PASP	SHEEP MOUNTAIN AIRPORT
702715	46407	PAZK	SKELTON AIRPORT
702715	99999	PAZK	EUREKA SKELTON AIR
702720	26401	PAED	ELMENDORF AFB AIRPORT
702730	26451	PANC	TED STEVENS ANCHORAGE INTL AIRPORT
702735	26409	PAMR	MERRILL FIELD AIRPORT
702740	25331	PAAQ	PALMER MUNICIPAL AIRPORT
702745	26560	PAUO	WILLOW AIRPORT
702745	99999	PAUO	WILLOW AIRPORT
702746	26497	PABV	BIRCHWOOD AIRPORT
702755	46404	PAMX	MCCARTHY AIRPORT
702756	26479	PAVD	VALDEZ PIONEER FIELD AIRPORT
702757	26444	PAWR	WHITTIER AIRPORT
702758	27517	PALP	ALPINE AIRSTRIP
702758	99999	PALP	DEADHORSE ALPINE AIR
702770	26438	PAWD	SEWARD AIRPORT
702910	26412	PAOR	NORTHWAY AIRPORT
702913	46402	PABN	DEVILS MOUNTAIN LODGE AIRPORT
702915	26486	PADT	DUFFY'S TAVERN AIRPORT
702915	99999	PADT	SLANA AIRPORT
703050	25623	PAEH	CAPE HEWENHAM LRRS AIRPORT
703051	26521	PAHC	HOLY CROSS AIRPORT
703052	26652	PALG	KALSKAG AIRPORT
703053	26654	PARS	RUSSIAN MISSION AIRPORT
703056	26635	PAMO	MOUNTAIN VILLAGE AIRPORT
703057	26653	PAOO	TOKSOOK BAY AIRPORT
703061	25521	PAIG	IGIUGIG AIRPORT
703080	25713	PASN	ST PAUL ISLAND AIRPORT
703160	25624	PACD	COLD BAY AIRPORT
703165	25617	PASD	SAND POINT AIRPORT
703210	25513	PADL	DILLINGHAM AIRPORT
703260	25503	PAKN	KING SALMON AIRPORT
703330	25508	PAPH	PORT HEIDEN AIRPORT
703333	25518	PAJC	CHIGNIK AIRPORT
703333	99999	PAJC	CHIGNIK AIRPORT
703334	25519	PAII	EGEGIK AIRPORT
703400	25506	PAIL	ILIAMNA AIRPORT
703406	26546	PALJ	PORT ALSWORTH AIRPORT
703406	99999	PALJ	PORT ALSWORTH AIR
703407	26553	PASL	SLEETMUTE AIRPORT
703410	25507	PAHO	HOMER AIRPORT
703500	25501	PADQ	KODIAK AIRPORT
703605	25604	PAPM	PLATINUM AIRPORT
703606	25629	PATG	TOGIAK AIRPORT
703610	25339	PAYA	YAKUTAT AIRPORT
703620	25335	PAGY	SKAGWAY AIRPORT
703621	25516	PASO	SELDOVIA AIRPORT
703644	27515	PAQT	NUIQSUT AIRPORT
703655	26552	PAHL	HUSLIA AIRPORT
703656	99999	PAQH	QUINHAGAK AIRPORT
703810	25309	PAJN	JUNEAU INTERNATIONAL AIRPORT
703835	25628	PAPB	ST. GEORGE AIRPORT
703855	25369	PAFE	KAKE AIRPORT
703860	25329	PAPG	JAMES A JOHNSON AIRPORT
703870	25338	PAWG	WRANGELL AIRPORT
703888	99999	PFSH	SHAKTOOLIK AIRPORT
703891	99999	PFEL	ELIM AIRPORT
703894	25367	PAKW	KLAWOCK AIRPORT
703925	112	PAJZ	KOLIGANEK AIRPORT
703950	25325	PAKT	KETCHIKAN INTL AIRPORT
703980	25308	PANT	ANNETTE ISLAND AIRPORT
704140	45715	PASY	EARECKSON AIR STATION AIRPORT
704890	25616	PADU	DUTCH HARBOR AIRPORT
704898	113	PFNO	ROBERT (BOB) CURTIS MEMORIAL AIRPORT
710735	99999	CYXN	WHALE COVE AIRPORT
710814	99999	CYGT	IGLOOLIK AIRPORT
711060	94234	CYAZ	TOFINO AIRPORT
711140	99999	CYHE	HOPE AIRPORT (MAN)
711170	99999	CEWO	MOBILE UPPER AIR STATION
711180	99999	CZWN	WAINWRIGHT CFB AIRFIELD 21  ALTA
711300	99999	CYBU	NIPAWIN AIRPORT
711420	99999	CYYN	SWIFT CURRENT AIRPORT
711450	99999	CYIV	ISLAND LAKE AIRPORT
714590	99999	CWJX	LEADER AIRPORT  SASK
714724	99999	CZMT	MASSET AIRPORT
714870	99999	CWJI	ASSINIBOIA AIRPORT  SASK
716890	99999	CYMM	FORT MCMURRAY AIRPORT
717160	99999	CYOY	VALCARTIER AIRPORT
717210	99999	CWMJ	MANIWAKI AIRPORT
717420	99999	CXGD	GANDER AIRPORT CS
717770	99999	CWGP	PEMBERTON AIRPORT  BC
717775	99999	CWPN	PEMBERTON AIRPORT (WIND)PEMBERTON AIRPORT (WIND)
718043	99999	YSV	SAGLEK AIRPORT
718193	99999	CYFT	MAKKOVIK AIRPORT
718420	99999	CYXL	SIOUX LOOKOUT AIRPORT
718640	99999	CYMJ	MOOSE JAW AIR VICE MARSHAL C M MCEWEN
718670	99999	CYQD	THE PAS AIRPORT
718964	99999	CYKQ	WASKAGANISH AIRPORT
719020	99999	CYDP	NAIN AIRPORT
719076	99999	CYKO	AKULIVIK AIRPORT
719120	99999	CYGX	GILLAM AIRPORT
719144	99999	WYH	SPENCE BAY AIRPORT&
719246	99999	CWGZ	GRISE FIORD AIRPORT
719290	99999	CYUK	BYRON BAY AIRPORT
719390	26114	CYUI	CAPE YOUNG AIRPORT
719390	99999	CYUI	CAPE YOUNG AIRPORT
719403	99999	CYCQ	CHETWYND AIRPORT
719458	99999	CYJF	FORT LIARD AIRPORT
719576	99999	CZFN	FORT NORMAN AIRPORT
719645	99999	CYDM	ROSS RIVER AIRPORT
720110	53983	KAQO	LLANO MUNICIPAL AIRPORT
720113	54829	KVLL	OAKLAND/TROY AIRPORT
720120	63837	KHXD	HILTON HEAD AIRPORT
720169	116	KFYG	WASHINGTON REGIONAL AIRPORT
720169	99999	KFYG	WASHINGTON REGIONAL AIRPORT
720170	63851	KM30	METROPOLIS MUNICIPAL AIRPORT
720172	53996	KMEZ	MENA INTERMOUNTAIN MUNICIPAL AIRPORT
720193	99999	KO54	LONNIE POOL FLD / WEAVERVILLE AIRPORT
720202	118	KTMK	TILLAMOOK AIRPORT
720254	119	KCLS	CHEHALIS CENTRALIA AIRPORT
720257	63835	KBIJ	EARLY COUNTY AIRPORT
720258	4997	KHZX	ISEDOR IVERSON AIRPORT
720264	63827	K6V3	TAZEWELL COUNTY AIRPORT
720266	54809	KASW	WARSAW MUNICIPAL AIRPORT
720267	23224	KAUN	AUBURN MUNICIPAL AIRPORT
720268	53882	KBGE	DCATR CO INDUS AIRPK ARPT
720269	12982	KBKS	BROOKS COUNTY AIRPORT
720272	94282	KBVS	SKAGIT REGIONAL AIRPORT
720273	12981	KBYY	BAY CITY MUNICIPAL AIRPORT
720275	4872	KDUH	TOLEDO SUBURBAN AIRPORT
720276	12983	KEBG	EDINBURG INTL AIRPORT
720277	63843	KEHO	SHELBY MUNICIPAL AIRPORT
720282	3736	KFFA	FIRST FLIGHT AIRPORT
720283	4927	KFKA	FILLMORE COUNTY AIRPORT
